'Titulo','Direção','Nota','Link','Ano','Categoria'
'O Poderoso Chefão','Francis Ford Coppola','4.8','https://www.adorocinema.com/filmes/filme-1628/','24 de março de 1972','Drama, Policial'
'Um Sonho de Liberdade','Frank Darabont','4.8','https://www.adorocinema.com/filmes/filme-11736/','25 de janeiro de 1995','Drama'
'A Lista de Schindler','Steven Spielberg','3.9','https://www.adorocinema.com/filmes/filme-9393/','31 de dezembro de 1993','Biopic, Drama, Histórico'
'Forrest Gump - O Contador de Histórias','Robert Zemeckis','4.7','https://www.adorocinema.com/filmes/filme-10568/','7 de dezembro de 1994','Comédia, Drama, Romance'
'O Rei Leão','Roger Allers Rob Minkoff','4.7','https://www.adorocinema.com/filmes/filme-10862/','8 de julho de 1994','Animação, Aventura, Comédia Musical, Família'
'À Espera de um Milagre','Frank Darabont','4.7','https://www.adorocinema.com/filmes/filme-22779/','10 de março de 2000','Drama, Fantasia, Policial'
'O Senhor dos Anéis - O Retorno do Rei','Peter Jackson','4.7','https://www.adorocinema.com/filmes/filme-39187/','25 de dezembro de 2003','Aventura, Fantasia'
'Batman - O Cavaleiro Das Trevas','Christopher Nolan','4.7','https://www.adorocinema.com/filmes/filme-115362/','18 de julho de 2008','Ação, Suspense'
'Vingadores: Ultimato','Joe Russo Anthony Russo','3.9','https://www.adorocinema.com/filmes/filme-232669/','25 de abril de 2019','Aventura, Ação, Ficção Científica'
'O Poderoso Chefão 2','Francis Ford Coppola','4.7','https://www.adorocinema.com/filmes/filme-28201/','20 de dezembro de 1974','Drama, Policial'
'Vingadores: Guerra Infinita','Joe Russo Anthony Russo','3.6','https://www.adorocinema.com/filmes/filme-218265/','26 de abril de 2018','Aventura, Ação, Ficção Científica'
'O Auto da Compadecida','Guel Arraes','4.7','https://www.adorocinema.com/filmes/filme-120824/','10 de setembro de 2000','Aventura, Comédia'
'Gladiador','Ridley Scott','4.7','https://www.adorocinema.com/filmes/filme-24944/','19 de maio de 2000','Aventura, Ação, Histórico'
'O Resgate do Soldado Ryan','Steven Spielberg','4.7','https://www.adorocinema.com/filmes/filme-18598/','11 de setembro de 1998','Drama, Guerra'
